Armenian Script,Translit.,English Meaning,Example Sentence + [Translation],Grammar (Root/Infinitive + Imperative),Cheat Phrase (Mnemonic),Topic/Tag
Տա՛ր,tar,Take!,Տա՛ր այս գրքերը գրադարան։ [Take these books to the library.],"Verb. Infinitive: տանել (tanel). Imperative (singular, informal): տա՛ր (tar).",*Take* the sticky *tar* off the road.,Actions & Verbs
Տո՛ւր,tur,Give!,Ինձ մի քիչ ջուր տո՛ւր։ [Give me a little water.],"Verb. Infinitive: տալ (tal). Imperative (singular, informal): տո՛ւր (tur).",*Give* me a *tour* of the city!,Actions & Verbs
ազատ,azat,free,Ես այսօր երեկոյան ազատ եմ։ [I am free this evening.],Adjective. Root: ազատ (azat). Does not change for case or number when used as a predicate.,He was *free* to go after he *ate a lot*.,Adjectives & Qualities
ազգանուն,azganun,surname,Իմ ազգանունը Պետրոսյան է։ [My surname is Petrosyan.],Noun. Root: ազգանուն (azganun). Compound word: ազգ (azg - 'nation/clan') + անուն (anun - 'name'). Definite form: ազգանունը (azganun@).,"My *surname* is ""Ask a nun.""",People & Family
աթոռ,at'orr,chair,Այս աթոռը շատ հարմարավետ է։ [This chair is very comfortable.],Noun. Root: աթոռ (at'orr). Definite form: աթոռը (at'orr@). Plural: աթոռներ (at'orrner).,The author sat in his *chair*.,Home & Furniture
ակումբ,akumb,club,Գիշերը մենք գնալու ենք ակումբ։ [Tonight we are going to a club.],"Noun. Root: ակումբ (akumb). Cognate with English ""club"". Definite form: ակումբը (akumb@). Plural: ակումբներ (akumbner).",I'll *accompany* you to the *club*.,Places & Buildings
աղջիկ,aghjik,girl / daughter,Նրա աղջիկը սովորում է համալսարանում։ [His daughter is studying at the university.],Noun. Root: աղջիկ (aghjik). Definite form: աղջիկը (aghjik@). Plural: աղջիկներ (aghjikner).,A *girl* who is *all chic* and stylish.,People & Family
ամառ,amarr,summer,"Ամռանը մենք միշտ գնում ենք լողալու։ [In the summer, we always go swimming.]","Noun. Root: ամառ (amarr). Definite form: ամառը (amarr'y). The 'ռռ' (rr) sound is a trilled R, common in Armenian.",The only ARMOR I wear in the summer is sunscreen.,"Time, Calendar & Seasons"
ամերիկացի,amerikats'i,American,Իմ լավագույն ընկերը ամերիկացի է։ [My best friend is American.],"Noun. Root: Ամերիկա (Amerika). The suffix '-ացի' (-ats'i) indicates origin or nationality, like '-an' or '-er' in English. Plural: ամերիկացիներ (amerikats'iner).",An AMERICAN SEE-s the world differently.,People & Family
ամիս,amis,month,Մեկ ամսից իմ ծնունդն է։ [My birthday is in one month.],Noun. Root: ամիս (amis). Definite form: ամիսը (amisy). Plural: ամիսներ (amisner).,I AM MISS-ing you this past month.,"Time, Calendar & Seasons"
ամուսին,amusin,husband,Նրա ամուսինը շատ բարի մարդ է։ [Her husband is a very kind person.],Noun. Root: ամուսին (amusin). Definite form: ամուսինը (amusiny). Related to ամուսնություն (amusnut'yun) - marriage.,My husband is AMUSING.,People & Family
ամուսնանալ,amusnanal,to get married,Նրանք ուզում են ամուսնանալ հաջորդ տարի։ [They want to get married next year.],"Verb. Infinitive: ամուսնանալ (amusnanal). Imperative (informal, singular): ամուսնացիր (amusnats'ir). Root is related to 'amusin' (husband).","To get married, you need A MOOSE AND AN AWL.",Actions & Verbs
ամուսնացած,amusnats'ats,married,Ես ամուսնացած եմ և երկու երեխա ունեմ։ [I am married and have two children.],Adjective/Participle. This is the past participle of the verb ամուսնանալ (amusnanal). It doesn't change form based on gender.,"Since I'm married, I'm A MOOSE NOT SAD.",Adjectives & Qualities
այդ,ayd,that (adjective),Այդ գիրքը շատ հետաքրքիր է։ [That book is very interesting.],"Demonstrative Adjective. Used for something near the listener. Part of the series: այս (ays - this), այդ (ayd - that, near you), այն (ayn - that, over there).","I'D like THAT one, please.",General
այդտեղ,aydt'egh,there,Ի՞նչ ես անում այդտեղ։ [What are you doing there?],Adverb of place. Combination of այդ (ayd - that) + տեղ (t'egh - place). Refers to a place near the listener.,"I'D TAKE you THERE, since it's close to you.",Places & Buildings
այն,ayn,that (far / adjective),Այն սարի հետևում մի գյուղ կա։ [There is a village behind that mountain (over there).],Demonstrative Adjective. Used for something far from both the speaker and the listener. Corresponds to the place adverb այնտեղ (aynt'egh).,EIN-stein pointed to THAT distant star.,General
այնտեղ,aynt'egh,over there,"Իմ տունը այնտեղ է, գետի մյուս կողմում։ [My house is over there, on the other side of the river.]",Adverb of place. Combination of այն (ayn - that over there) + տեղ (t'egh - place). Refers to a place far from both speaker and listener.,I AIN'T going OVER THERE.,Places & Buildings
այո / հա,ayo / ha,yes,"- Դու սուրճ սիրու՞մ ես։ - Այո, շատ։ [- Do you like coffee? - Yes, very much.]","Adverb. 'Այո' (ayo) is the formal/standard 'yes'. 'Հա' (ha) is the informal, everyday 'yes', similar to 'yeah'.","AYO: 'I OWE' you a yes. HA: 'Ha ha ha', yes, that's funny.",General
այս,ays,this (adjective),Այս խնձորը շատ համեղ է։ [This apple is very tasty.],Demonstrative Adjective. Used for something near the speaker. Corresponds to the place adverb այստեղ (ayst'egh - here).,THIS is as cold as ICE.,General
այստեղ,ayst'egh,here,"Եկեք նստենք այստեղ՝ ծառի տակ։ [Let's sit here, under the tree.]",Adverb of place. Combination of այս (ays - this) + տեղ (t'egh - place). Refers to the speaker's location.,ICE STAYS HERE in the freezer.,Places & Buildings
այսօր,aysor,today,Այսօր եղանակը հրաշալի է։ [The weather is wonderful today.],Adverb of time. Compound word: այս (ays - this) + օր (or - day). Literally 'this day'.,I'M SORE TODAY after my workout.,"Time, Calendar & Seasons"
անգույն,anguyn,colorless,Ջուրը անգույն հեղուկ է։ [Water is a colorless liquid.],"Adjective. Prefix 'ան-' (an-) means 'without' or '-less'. The root is 'գույն' (guyn), which means 'color'. Literally 'without-color'.",An ANGRY TWIN is COLORLESS with rage.,Adjectives & Qualities
անել,anel,to do,Ես պետք է տնային աշխատանքս անեմ։ [I have to do my homework.],"Verb. Infinitive: անել (anel). Imperative (informal, singular): արա (ara). One of the most common and irregular verbs.",ANN'LL DO it later.,Actions & Verbs
անընդհատ,anyndhat,constantly,Նա անընդհատ խոսում է հեռախոսով։ [She constantly talks on the phone.],"Adverb. Formed from 'ան-' (an- 'without') and 'ընդհատել' (yndhatel 'to interrupt'). So, 'without interruption'.","ON AND HOT, the sun shone CONSTANTLY.",General
անհանգիստ,anhangist,worried / restless,"Մի՛ եղիր այդքան անհանգիստ, ամեն ինչ լավ կլինի։ [Don't be so worried, everything will be fine.]",Adjective. Prefix 'ան-' (an- 'without') + 'հանգիստ' (hangist 'calm/rest'). Literally 'without rest' or 'without calm'.,AN HONEST person is never WORRIED about lying.,Emotions & Physical States
անուն,anun,name,Ինչպե՞ս է քո անունը։ [What is your name?],Noun. Root: անուն (anun). Definite form: անունը (anuny). Cognate with English 'name' through Proto-Indo-European.,A NUN needs a holy NAME.,People & Family
աշխատավայր,ashkhatavayr,workplace,Իմ աշխատավայրը գտնվում է քաղաքի կենտրոնում։ [My workplace is located in the city center.],Noun. Compound word: աշխատել (ashkhatel - to work) + վայր (vayr - place). Literally 'work-place'. Definite form: աշխատավայրը (ashkhatavayry).,I'd ASK OTTO for a buyer at my WORKPLACE.,Places & Buildings
աշխատել,ashkhatel,to work,Ես պետք է շատ աշխատեմ այս շաբաթ։ [I have to work a lot this week.],Verb. Infinitive: աշխատել (ashkhatel). Imperative: աշխատի՛ր (ashkhati'r). The root is related to 'աշխատանք' (ashkhatank') meaning 'work'.,I have to 'ash my cat's tail' because I work so hard.,Actions & Verbs
աշուն,ashun,autumn,"Աշունը իմ սիրելի եղանակն է, որովհետև տերևները գունավորվում են։ [Autumn is my favorite season because the leaves change color.]",Noun. Root: աշուն (ashun). Definite form: աշունը (ashunə).,"Ah, soon' it will be autumn and the leaves will fall.","Time, Calendar & Seasons"
ապուր,apur,soup,Մայրիկիս պատրաստած ոսպով ապուրը շատ համեղ է։ [My mom's lentil soup is very delicious.],Noun. Root: ապուր (apur). Definite form: ապուրը (apurə).,I want 'a purr'-fectly warm bowl of soup.,Food & Dining
ապրել,aprel,to live,Իմ տատիկն ու պապիկն ապրում են գյուղում։ [My grandparents live in the village.],Verb. Infinitive: ապրել (aprel). Imperative: ապրի՛ր (apri'r). Also used in the cheer 'ապրե՛ս' (apres!) meaning 'well done!' or 'live long!'.,I 'applaud' everyone who is able to live a happy life.,Actions & Verbs
ապրիլ,april,April,"Ապրիլին ծառերը սկսում են ծաղկել։ [In April, the trees start to blossom.]","Noun. Root: ապրիլ (april). A cognate with English 'April', making it easy to remember.","This is a freebie, it sounds exactly like 'April'.","Time, Calendar & Seasons"
առավոտ,arravot,morning,"Առավոտյան սուրճ եմ խմում, որ արթնանամ։ [I drink coffee in the morning to wake up.]",Noun. Root: առավոտ (arravot). Definite form: առավոտը (arravotə).,An 'arrow' 'shot' at my alarm clock in the morning.,"Time, Calendar & Seasons"
ավարտել,avartel,to finish,"Երբ կավարտես դասերդ, կարող ենք գնալ զբոսնելու։ [When you finish your homework, we can go for a walk.]",Verb. Infinitive: ավարտել (avartel). Imperative: ավարտի՛ր (avarti'r). The root 'ավարտ' (avart) means 'end' or 'finish'.,"Ah, Vart, tell' me when you finish your story.",Actions & Verbs
ավտոբուս,avtobus,bus,Հաջորդ ավտոբուսը կգա տասը րոպեից։ [The next bus will come in ten minutes.],"Noun. Root: ավտոբուս (avtobus). An international word, cognate with 'autobus' or 'bus'.",An 'auto bus' is a bus that drives itself.,Travel & Transportation
ատամնաբույժ,atamnabuyzh,dentist,Ես վախենում եմ ատամնաբույժի գնալուց։ [I am afraid of going to the dentist.],Noun. Compound word: ատամ (atam) 'tooth' + բույժ (buyzh) 'healer'. Definite form: ատամնաբույժը (atamnabuyzhə).,"At a man, a booze' bottle flew and hit his teeth, so he went to the dentist.",Professions & Occupations
արագ,arag,fast,Այս մեքենան շատ արագ է գնում։ [This car goes very fast.],Adjective. Root: արագ (arag).,That car is as fast as 'a rag' blowing in the wind.,Adjectives & Qualities
արթնանալ,art'nanal,to wake up,Ես սովորաբար արթնանում եմ առավոտյան ժամը յոթին։ [I usually wake up at seven in the morning.],Verb. Infinitive: արթնանալ (art'nanal). Imperative: արթնացի՛ր (art'nats'ir).,Art's none all' over the bed when I wake up.,Actions & Verbs
արտասահմանցի,artasahmants'i,foreigner,Երևանում շատ արտասահմանցի ուսանողներ կան։ [There are many foreign students in Yerevan.],Noun. Compound word: արտ (art) 'outside' + սահման (sahman) 'border' + -ցի (-ts'i) suffix for origin.,"The foreigner points and says 'Art is a man, see?'",People & Family
արև,arev,sun,Այսօր արևը շատ պայծառ է շողում։ [The sun is shining very brightly today.],Noun. Root: արև (arev). Definite form: արևը (arevə).,Let's 'have a rave' under the sun!,Nature & Environment
բազկաթոռ,bazkat'orr,armchair,Պապիկս սիրում է նստել բազկաթոռին և թերթ կարդալ։ [My grandpa likes to sit in the armchair and read the newspaper.],Noun. Compound word: բազուկ (bazuk) 'arm' + աթոռ (at'orr) 'chair'. Definite form: բազկաթոռը (bazkat'orrə).,A 'bazooka tore' a giant hole in my favorite armchair.,Home & Furniture
բազմոց,bazmots',sofa,Ընտանիքով հավաքվել ենք բազմոցին և ֆիլմ ենք դիտում։ [The family has gathered on the sofa and is watching a movie.],"Noun. From the root 'բազում' (bazum) meaning 'many', as a sofa is for many people. Definite form: բազմոցը (bazmots'ə).","Pass mots'arella sticks, we're watching the game on the sofa.",Home & Furniture
բաժակ,bazhak,cup / glass,"Խնդրում եմ, ինձ մի բաժակ ջուր տվեք։ [Please give me a glass of water.]",Noun. Root: բաժակ (bazhak). Definite form: բաժակը (bazhakə).,I'll have 'a Jack' Daniels in a glass.,Objects & Tools
բաժանվել,bazhanvel,to get divorced,"Նրանք երկար տարիներ ամուսնացած էին, բայց վերջերս բաժանվեցին։ [They were married for many years, but recently they got divorced.]",Verb. From 'բաժանել' (bazhanel) 'to separate'. The -վել (-vel) ending indicates a reflexive or passive action.,They got divorced because he wore 'pajama velvet' every single night.,People & Family
բահ,bah,shovel,Հայրիկը բահով այգին էր փորում։ [Dad was digging the garden with a shovel.],Noun. Root: բահ (bah). Definite form: բահը (bahə).,Bah!' Humbug! I hate digging with this shovel.,Objects & Tools
բաղնիք,baghnik',bathroom,Բաղնիքը երկրորդ հարկում է։ [The bathroom is on the second floor.],Noun. Root: բաղնիք (baghnik'). Definite form: բաղնիքը (baghnik'ə).,My 'bag' of 'knick-knacks' fell into the toilet in the bathroom.,Home & Furniture
բայց,bayts',but,"Ես ուզում էի գնալ կինո, բայց տոմս չկար։ [I wanted to go to the cinema, but there were no tickets.]",Conjunction. Root: բայց (bayts'). Connects contrasting ideas.,"I wanted to go, 'but' the guard dog 'bites'.",General
բանան,banan,banana,Ես նախաճաշին բանան եմ ուտում։ [I eat a banana for breakfast.],"Noun. Root: բանան (banan). Definite form: բանանը (banan'y). An international word, identical in sound and meaning to its English counterpart.",Sounds exactly like 'banana'. Imagine a banana wearing a bandanna to make it memorable.,Food & Dining
բանկ,bank,bank,Ես պետք է գնամ բանկ՝ փող հանելու։ [I need to go to the bank to withdraw money.],Noun. Root: բանկ (bank). Definite form: բանկը (bank'y). This is a direct cognate with the English word 'bank'.,Sounds just like 'bank'. Picture a huge piggy bank that is also a building for a bank.,Places & Buildings
բանջարեղեն,banjareghen,vegetables,Շուկայում թարմ բանջարեղեն են վաճառում։ [They sell fresh vegetables at the market.],"Noun (collective). Root: բանջար (banjar). Definite form: բանջարեղենը (banjareghen'y). 'Բանջար' means 'greens/herbs', and '-եղեն' is a suffix for 'things made of'. So, 'vegetable-things'.",Sounds like 'ban jar again'. You must 'ban' the rabbit from the vegetable 'jar again' and again.,Food & Dining
բար,bar,bar,Ընկերներով գնացինք բար մի գավաթ գարեջուր խմելու։ [We went to the bar with friends to drink a glass of beer.],Noun. Root: բար (bar). Definite form: բարը (bar'y). An international word.,It's the same as 'bar'. Imagine a big brown bear sitting at the bar sipping a drink.,Places & Buildings
բարակ,barak,thin,Նա շատ բարակ գիրք էր կարդում։ [She was reading a very thin book.],Adjective. Root: բարակ (barak). It is invariable and does not change form.,barak' sounds like 'Barack'. Imagine former president Barack Obama being so thin he can slide under a door.,Adjectives & Qualities
բարի,bari,good / kind,"Նա շատ բարի մարդ է, միշտ օգնում է բոլորին։ [He is a very kind person, he always helps everyone.]",Adjective. Root: բարի (bari). This word is the root for all 'good' greetings like 'good morning' (bari luys).,bari' sounds like 'bury'. A kind (bari) friend helps you 'bury' your troubles with kindness.,Adjectives & Qualities
բարի գալուստ,bari galust,welcome,Բարի գալուստ Հայաստան։ [Welcome to Armenia!],Phrase. A combination of բարի (bari - good) and գալուստ (galust - coming/arrival). Literally means 'good coming'.,"bari galust' sounds like 'Good, a gallon of dust!' Imagine arriving somewhere dusty and exclaiming this. Welcome!",General
բարի գիշեր,bari gisher,good night,"Բարի գիշեր, քաղցր երազներ։ [Good night, sweet dreams.]",Phrase. Composed of բարի (bari - good) + գիշեր (gisher - night).,"For a 'bari gisher' (good night), you hope nobody 'gears' up their loud motorcycle or 'shares' loud music.",General
բարի երեկո,bari ereko,good evening,"Բարի երեկո, ինչպե՞ս եք։ [Good evening, how are you?]",Phrase. Composed of բարի (bari - good) + երեկո (ereko - evening).,bari ereko' sounds like 'good echo'. A good evening is so quiet you can hear an echo.,General
բարի լույս,bari luys,good morning,"Բարի լույս, սիրելիս։ [Good morning, my love.]",Phrase. Literally 'good light'. Composed of բարի (bari - good) + լույս (luys - light).,bari luys' sounds like 'good loose'. Hope you have a good morning and don't get 'loose' with your schedule.,General
բարի ճանապարհ,bari chanaparh,have a nice journey,"Վաղը մեկնում եմ, չէ՞։ Բարի ճանապարհ։ [You're leaving tomorrow, right? Have a nice journey.]",Phrase. Literally 'good road'. Composed of բարի (bari - good) + ճանապարհ (chanaparh - road/journey).,"For a 'bari chanaparh' (good journey), you 'channel a path' on the map.",Travel & Transportation
բարի օր,bari or,good day / afternoon,"Բարի օր, կարո՞ղ եմ օգնել ձեզ։ [Good day, can I help you?]",Phrase. Literally 'good day'. Composed of բարի (bari - good) + օր (or - day).,"bari or' sounds like 'good, or...' It's a funny, threatening way to wish someone a good day: 'Have a good day... OR ELSE!'",General
բարկացած,barkats'ats,angry,"Ինչու՞ ես այդքան բարկացած, ի՞նչ է պատահել։ [Why are you so angry, what happened?]",Participle (acting as an adjective). From the verb բարկանալ (barkanal - to get angry).,barkats'ats' sounds like a dog that 'barks at cats'. It's very angry!,Emotions & Physical States
բարև,barev,hello,"Բարև, Արամ, ո՞նց ես։ [Hello, Aram, how are you?]","Greeting (informal). Root: բարև (barev). A very common, everyday greeting.",barev' sounds like 'bear-ev'. Imagine saying hello to a friendly bear you meet every evening.,General
բարև ձեզ,barev dzez,hello (formal),"Բարև ձեզ, տիկին Պողոսյան։ [Hello, Mrs. Poghosyan.]","Greeting (formal/plural). Composed of բարև (barev - hello) + ձեզ (dzez - to you). Used for elders, strangers, or groups.","You say 'barev' to a bear, but you say 'barev dzez' when the bear has 'desserts' and you need to be polite.",General
բաց,bats',open,Խանութը բաց է մինչև ժամը ինը։ [The store is open until nine o'clock.],Adjective. Root: բաց (bats'). Related to the verb բացել (bats'el - to open).,"The door is open, so watch out for the 'bats' flying in.",Adjectives & Qualities
բացել,bats'el,to open,"Կարո՞ղ ես, խնդրում եմ, պատուհանը բացել։ [Can you please open the window?]","Verb. Infinitive: բացել (bats'el). Imperative (singular, informal): բա՛ց (bats').","To open the door, you need to get rid of the 'bats'. You yell, 'Bats, sell! I'm selling bats!'",Actions & Verbs
բերել,berel,to bring,"Խնդրում եմ, մի բաժակ ջուր բերել։ [Please bring a glass of water.]","Verb. Infinitive: բերել (berel). Imperative (singular, informal): բե՛ր (ber).",berel' sounds like 'bear ale'. Imagine a large bear bringing you a mug of ale.,Actions & Verbs
բժիշկ,bzhishk,doctor,"Եթե վատ ես զգում, պետք է բժշկի գնաս։ [If you feel unwell, you should go to the doctor.]",Noun. Root: բժիշկ (bzhishk). Definite form: բժիշկը (bzhishk'y). From the verb բուժել (buzhel - to heal).,bzhishk' sounds like a buzzing bee sting 'bzzz-shk'. The doctor gives you a shot that feels like a bee sting.,Professions & Occupations
բիզնես,biznes,business,Նա հաջողակ բիզնես ունի Երևանում։ [He has a successful business in Yerevan.],Noun. Root: բիզնես (biznes). Definite form: բիզնեսը (biznes'y). An international loanword.,Sounds exactly like 'business'. Imagine a bee that is very busy with its business.,General
բիզնեսմեն,biznesmen,businessman,Նրա հայրը հաջողակ բիզնեսմեն է։ [His father is a successful businessman.],Root: բիզնես (biznes). A loanword from English/Russian. The definite form is բիզնեսմենը (biznesmenuh). Plural: բիզնեսմեններ (biznesmenner).,"Sounds just like 'businessman'. No cheat needed, he's a 'business man'.",Professions & Occupations
բլուր,blur,hill,Մենք բարձրացանք բլուրը՝ քաղաքը տեսնելու համար։ [We climbed the hill to see the city.],Root: բլուր (blur). Definite form: բլուրը (blurruh). Plural: բլուրներ (blurrner).,The view from the hill was a 'blur' because of the fog.,Nature & Environment
բնակարան,bnakaran,apartment,Նրանք նոր բնակարան են գնել Երևանի կենտրոնում։ [They bought a new apartment in the center of Yerevan.],"Root: բնակ- (bnak-, 'to dwell/inhabit'). Derived from բնակվել (bnakvel - to live). Definite form: բնակարանը (bnakaranuh).",My 'banana car ran' right into my new apartment building.,Home & Furniture
բուժքույր,buzhk'uyr,nurse,Բուժքույրը հոգատարությամբ խնամում էր հիվանդին։ [The nurse was carefully taking care of the patient.],"Compound word: բուժ- (buzh-, 'to heal') + քույր (k'uyr, 'sister'). Literally 'healing sister'. Definite form: բուժքույրը (buzhk'uyruh).","The nurse said, 'Push, queer patient!' which was strange.",Professions & Occupations
գագաթ,gagat',top / peak,Արարատի գագաթը ձյունով է պատված։ [The peak of Ararat is covered with snow.],Root: գագաթ (gagat'). Definite form: գագաթը (gagat'uh).,I went 'gaga' at the top/peak of the mountain.,Nature & Environment
գալ,gal,to come,Դու վաղը մեզ հյուր կգա՞ս։ [Will you come visit us tomorrow?],Verb. Infinitive: գալ (gal). Imperative (singular): արի (ari). This is an irregular verb.,The 'gal' will 'come' to the party later.,Actions & Verbs
գարուն,garun,spring,Գարունը տարվա իմ ամենասիրելի եղանակն է։ [Spring is my favorite season of the year.],Root: գարուն (garun). Definite form: գարունը (garunuh).,Let's 'go run' in the park now that it's spring.,"Time, Calendar & Seasons"
գդալ,gdal,spoon,Այս ապուրի համար ինձ մեծ գդալ է պետք։ [I need a big spoon for this soup.],Root: գդալ (gdal). Definite form: գդալը (gdaluh). Plural: գդալներ (gdalner).,"It's a 'good doll', now eat your soup with the spoon.",Food & Dining
գեղեցիկ,geghets'ik,beautiful,Հայաստանում շատ գեղեցիկ լեռներ կան։ [There are many beautiful mountains in Armenia.],Adjective. Root: գեղ- (gegh- 'beauty'). Does not change for gender or number.,I'll 'get sick' if I look at something so beautiful for too long.,Adjectives & Qualities
գետ,get,river,Արաքս գետը հոսում է Հայաստանի սահմանով։ [The Araks river flows along the border of Armenia.],Root: գետ (get). Definite form: գետը (getuh). Plural: գետեր (geter).,I have to 'get' across the river.,Nature & Environment
գիշեր,gisher,night,"Գիշերը երկինքը լի էր աստղերով։ [At night, the sky was full of stars.]",Root: գիշեր (gisher). Definite form: գիշերը (gisheruh).,The candy will 'get shared' among the kids at night.,"Time, Calendar & Seasons"
գիտենալ,gitenal,to know,"Ես գիտեմ, որ դու ճիշտ ես։ [I know that you are right.]","Verb. Infinitive: գիտենալ (gitenal). Imperative (singular): իմացի՛ր (imats'ir). Conjugates as գիտեմ, գիտես, գիտի (gitem, gites, giti).",Get an al'-manac so you will 'know' the future.,Actions & Verbs
գիրք,girk',book,Այս գիրքը շատ հետաքրքիր սյուժե ունի։ [This book has a very interesting plot.],Root: գիր (gir 'letter/writing'). Definite form: գիրքը (girk'uh). Plural: գրքեր (grk'er).,A 'geek' loves to read a book.,Objects & Tools
գնալ,gnal,to go,Ես պետք է հիմա խանութ գնամ։ [I have to go to the store now.],Verb. Infinitive: գնալ (gnal). Imperative (singular): գնա՛ (gna).,"It's 'gonna' get late, let's go now.",Actions & Verbs
գոհ,goh,pleased / satisfied,Ես շատ գոհ եմ իմ նոր աշխատանքից։ [I am very pleased with my new job.],Adjective. From Old Armenian. Does not change for gender or number.,"Go' home now, I'm pleased with the work you've done.",Emotions & Physical States
գործարար,gortsarrar,businessman,Նա հայտնի գործարար է և բարերար։ [He is a famous businessman and philanthropist.],Root: գործ (gorts 'work/deed'). Definite form: գործարարը (gortsararuh). Plural: գործարարներ (gortsararrner). This is a native Armenian word.,That businessman's 'car is rare' and expensive.,Professions & Occupations
գործիք,gortsik',tool,Հայրս միշտ իր գործիքները կարգին է պահում։ [My father always keeps his tools in order.],Root: գործ (gorts 'work/deed'). The -իք (-ik') is a suffix for instruments. Definite form: գործիքը (gortsik'uh). Plural: գործիքներ (gortsik'ner).,My project will 'go sick' if I don't use the right tool.,Objects & Tools
գրամ,gram,gram,"Խնդրում եմ, երկու հարյուր գրամ պանիր կշռեք։ [Please, weigh two hundred grams of cheese.]",Loanword. Definite form: գրամը (gramuh). Plural: գրամներ (gramner).,Sounds exactly like the English word 'gram'.,Numbers & Quantity
գրել,grel,to write,Ես սիրում եմ նամակներ գրել իմ ընկերներին։ [I like to write letters to my friends.],Verb. Infinitive: գրել (grel). Imperative (singular): գրի՛ր (grir). Root: գր- (gr-).,"After you 'grill' the meat, write down the recipe.",Actions & Verbs
